# MJD orderslope
# subtract (m - 84) * orderslope from each order at MJD
58584.658565 0.363654
58584.663451 0.369842
58584.681764 0.367731
58584.691557 0.371403
58584.706558 0.374579
58584.722237 0.379751
58584.727743 0.380788
58584.738880 0.394368
58584.744961 0.407143
58584.749669 0.422073
58584.759993 0.437310
58585.442321 0.747665
58585.451344 0.731324
58585.459402 0.720796
58585.480334 0.729084
58585.520316 0.688622
58585.548560 0.694991
58585.573312 0.702949
58585.594682 0.723151
58585.598777 0.731413
58585.653380 0.791622
58585.657110 0.796430
58585.660941 0.796607
58585.683309 0.811957
58585.687367 0.806761
58585.695967 0.818497
58585.699891 0.820944
58585.704594 0.826986
58585.709358 0.834690
58585.718870 0.833520
58585.722020 0.840997
58585.731992 0.873829
58585.735524 0.883172
58585.740962 0.885779
58585.743959 0.888602
58585.746728 0.891033
58586.381598 0.346286
58586.385794 0.333505
58586.394162 0.312331
58586.403744 0.327440
58586.412700 0.338673
58586.421104 0.352046
58586.429039 0.367475
58586.444148 0.356644
58586.459344 0.339286
58586.466277 0.344144
58586.587100 0.544034
58586.599714 0.571639
58586.608534 0.588444
58586.626173 0.630862
58586.632029 0.643009
58586.638020 0.657873
58586.653645 0.693420
58586.659581 0.706519
58586.665850 0.711982
58586.669094 0.710805
58586.672357 0.715932
58586.675560 0.720008
58586.681917 0.740272
58586.685047 0.744487
58586.694218 0.758703
58586.699805 0.770344
58586.702328 0.780040
58586.707505 0.800112
58587.268581 1.535790
58587.488886 0.715175
58587.589201 0.761539
58587.597435 0.770926
58587.605447 0.780646
58587.653294 0.841934
58587.655468 0.844499
58587.657642 0.850352
58587.662547 0.857512
58587.664931 0.858302
58587.671428 0.867522
58587.695856 0.914402
58587.697429 0.920106
58588.399726 0.866186
58588.404261 0.857186
58588.427205 0.774498
58588.431951 0.763487
58588.436603 0.746887
58588.446258 0.725527
58588.450951 0.716289
58588.460537 0.717312
58588.465133 0.710710
58588.469758 0.701094
58588.494597 0.653587
58588.500212 0.639842
58588.506078 0.626961
58588.521737 0.638748
