# MJD zeropoint
# subtract zeropoint from IFU fibre velocities in all orders, as a function MJD
59360.069088 39.128592
59360.413264 39.228399
59360.714872 39.511990
59361.293362 39.847007
59362.131496 38.910066
59362.441383 38.539077
59363.017136 38.628984
59363.279182 38.364538
59363.788279 37.598838
59381.549791 52.790087
59382.932688 52.338371
59385.117148 49.131808
59385.790845 48.590510
59386.020935 49.173277
59386.508177 48.398027
59386.717627 49.081434
59392.527856 50.080611
59392.776006 50.235860
59393.015464 50.199847
59393.263282 50.106093
59393.516504 49.823207
59393.753241 49.925351
59394.463955 49.634605
59397.775171 46.757626
59398.608821 45.719269
59398.900399 44.917972
59399.177443 44.823436
59399.439604 44.100261
59439.440516 45.841789
59439.796730 45.632417
59440.199655 44.817157
59440.829662 44.460351
59441.662034 44.327541
59443.026320 43.736488
59444.228094 44.056414
59444.973943 44.485553
59445.981769 44.619903
59446.215195 43.821333
59446.426201 44.022410
59446.903199 43.955779
59447.371509 43.685978
59447.590571 43.546707
59447.815152 42.949681
59452.261460 42.702474
59452.769711 43.124032
59453.027551 43.574338
59453.273003 43.617289
59454.028295 44.437845
59455.030928 45.762054
59455.286077 46.236760
59455.798625 47.686991
59456.300992 48.689580
59456.807578 50.027936
59494.256772 49.015147
59494.515558 48.958108
59494.767349 49.228745
59495.018570 49.337515
59495.273621 49.336548
59495.529019 49.483941
59495.784815 49.737045
59501.018921 48.610038
59501.471904 48.014957
59501.937506 47.861739
59503.438708 47.807417
59504.489872 47.745252
59505.206371 48.953156
59506.152169 48.496284
59507.003077 49.018699
59508.278795 51.568852
59509.278336 50.666487
59509.498386 50.716565
59509.995069 50.169526
59510.667356 50.793332
59510.874789 50.938268
59511.074714 50.954958
59511.760290 47.919841
59534.650964 46.854415
59535.082090 46.310143
59535.349260 45.895802
59535.538163 46.028214
59535.713918 45.990075
59536.213918 45.990075
59536.713918 45.990075
59539.213918 45.990075
