# MJD zeropoint
# subtract zeropoint from all fibre velocities in all orders as a function MJD
58382.729828 15.324604
58382.730486 15.078764
58382.732110 14.027371
58382.733735 13.558530
58382.735358 12.904678
58382.736015 13.492476
58382.738416 13.738201
58382.739073 13.605076
58382.740706 14.282467
58382.742339 14.701258
58382.743248 14.425790
58382.744066 14.570311
58382.746755 16.514426
58382.747467 16.938614
58382.751292 16.888640
58382.753205 16.999677
58382.753936 16.962660
58382.756736 16.637981
58382.758435 16.690854
58382.760134 16.400127
58382.761834 16.280161
58382.762499 16.249047
58382.764918 15.809807
58382.765581 15.906523
58382.766305 15.811523
58382.768144 16.142456
58382.769980 16.419232
58382.770766 16.580926
58382.774771 15.303057
58382.775557 15.219812
58382.776447 15.165386
58382.777490 15.264811
58383.420579 2.031051
58383.469769 12.369813
58383.484606 12.947303
58383.498102 13.616668
58383.499835 13.811494
58383.503814 13.822323
58383.509784 12.169434
58383.514969 9.340051
58383.521467 8.593938
58383.524012 8.972500
58383.526050 9.339491
58383.533524 10.338386
58383.537214 11.780084
58383.538907 10.417289
58383.540593 10.411496
58383.544358 10.358208
58383.551933 8.836043
58383.555758 9.850472
58383.557477 10.799353
58383.573318 2.730162
58383.575006 2.488872
58383.576704 2.856014
58383.580206 3.981955
58383.583676 3.938106
58383.585408 4.144680
58383.587188 4.937905
58383.602465 13.662051
58383.617801 -2.302945
58383.636331 -7.295363
58383.644005 -0.387847
58383.668773 11.401531
58383.677303 7.291442
58383.688102 -0.625547
58383.695613 2.577235
58383.709016 23.482670
58383.723669 28.016231
58383.752616 -2.197332
58383.764468 9.505834
58383.772454 -0.287350
58383.788646 13.407764
58383.798090 8.779133
58383.808310 7.664094
58384.361526 20.111738
58384.379358 12.749813
58384.382037 13.512268
58384.387226 12.855180
58384.390098 13.437752
58384.401111 11.503758
58384.413113 21.550972
58384.427616 23.709394
58384.449196 21.388607
58384.464182 22.346155
58384.661817 24.931463
58384.698875 13.466294
58384.743847 10.816734
58384.773764 6.592190
58385.105294 -2.419628
58385.171093 27.034614
58385.379002 11.809560
58385.381607 11.771954
58385.386771 15.784628
58385.390883 14.994626
58385.395995 15.934586
