# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58516.494386 -8.507157
67 58516.499300 -8.740818
67 58516.509537 -8.145451
67 58516.522517 -8.315211
67 58516.527283 -8.331297
67 58516.536215 -8.347859
67 58516.544520 -8.357383
67 58516.689989 -6.796451
67 58516.693513 -6.703201
67 58516.697158 -6.882415
67 58516.700672 -6.975922
67 58516.704098 -6.939191
67 58516.711559 -7.178942
67 58516.718535 -7.784083
67 58516.732420 -8.798735
67 58516.737329 -9.088720
67 58516.753255 -9.714579
67 58516.768408 -9.736724
67 58517.598525 -7.829308
67 58517.601855 -7.812897
67 58517.606947 -7.851449
67 58517.615369 -7.852150
67 58517.630415 -8.365753
67 58517.640054 -9.088129
67 58517.651737 -9.698603
67 58517.656958 -10.153693
67 58517.674258 -10.774854
67 58517.686955 -10.931460
67 58517.693667 -10.933113
67 58517.712535 -10.359750
67 58517.728523 -10.197503
67 58517.751970 -8.449277
67 58517.761722 -7.776846
67 58517.765499 -7.410202
67 58581.503435 -0.650240
67 58581.518294 -4.606587
67 58581.520775 -5.151878
67 58581.742410 0.952918
67 58582.366084 23.964068
67 58582.506002 2.032697
67 58582.507562 2.424811
67 58582.521317 2.570309
67 58582.555428 8.733026
67 58582.560767 8.206900
67 58582.567962 6.935329
67 58582.595721 0.231186
67 58582.607172 0.853900
67 58582.628889 1.039254
67 58582.639942 2.086083
67 58582.652282 1.102445
67 58582.676182 0.480075
67 58582.691988 -1.066998
67 58582.707132 -2.819264
67 58582.719741 -4.553821
67 58582.727638 -6.260846
67 58582.780897 5.934202
67 58582.786844 6.346638
67 58582.792100 6.419298
67 58582.797080 6.714174
67 58582.802602 6.245272
67 58583.293752 3.951624
67 58583.384019 -0.658521
67 58583.390166 -0.140035
67 58583.416849 1.291228
67 58583.425830 2.445155
67 58583.474416 3.439730
67 58583.484684 4.884419
67 58583.507816 6.167004
67 58583.521537 6.177601
67 58583.526808 6.183369
67 58583.537968 4.757519
67 58583.549117 3.763595
67 58583.559761 3.107331
67 58583.570522 3.034188
67 58583.581111 2.155846
67 58583.592503 1.840424
67 58583.603537 1.104430
67 58583.614379 0.478683
67 58583.619644 -0.311795
67 58583.624889 -0.953574
67 58583.668712 -20.759457
67 58583.712273 -2.377464
67 58583.717826 -2.243081
67 58583.726943 -1.482814
67 58583.736007 -0.640752
67 58583.744896 0.683907
67 58583.749176 0.952926
67 58583.753015 1.665178
67 58583.811922 4.376299
67 58584.330876 -4.417629
67 58584.377223 2.705292
67 58584.444868 3.446599
67 58584.450625 3.444330
67 58584.455632 3.472155
67 58584.470050 2.982859
67 58584.479092 3.254973
67 58584.487474 3.092445
67 58584.495891 2.577345
67 58584.504437 1.787056
67 58584.517147 1.221123
67 58584.526070 1.023916
67 58584.534776 -0.000775
67 58584.542721 -0.456928
67 58584.552678 -0.458361
67 58584.562750 -0.810993
67 58584.567419 -1.223779
67 58584.581446 0.170108
67 58584.599910 1.920009
67 58584.609087 3.072935
67 58584.656709 2.742317
67 58584.746848 -1.311052
67 58584.759608 0.755185
67 58584.776648 3.015477
67 58584.783987 3.301523
67 58584.794764 3.682846
67 58585.389579 3.249990
67 58585.430829 6.998847
67 58585.509982 6.492581
67 58585.515539 6.365421
67 58585.520548 6.360364
67 58585.525152 6.657443
67 58585.530141 6.124491
67 58585.630918 9.387583
67 58585.681116 3.628593
67 58585.683349 3.592135
67 58585.696817 3.576860
67 58585.716903 4.065965
67 58585.733857 4.777149
67 58585.742058 5.032562
67 58585.787348 6.173106
67 58586.365486 9.076608
67 58586.381157 9.608050
67 58586.391125 10.121822
67 58586.400302 10.522295
